year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal,First_Name,Last_Name
1924.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Cheruvari Lakshmanan,71393,IND,British India,,False,,Cheruvari,Lakshmanan
1924.0,Summer,Athletics,"High Jump, Men (Olympic)",Cheruvari Lakshmanan,71393,IND,,,False,,Cheruvari,Lakshmanan
1924.0,Summer,Athletics,"Long Jump, Men (Olympic)",Cheruvari Lakshmanan,71393,IND,,,False,,Cheruvari,Lakshmanan
1960.0,Summer,Athletics,"Marathon, Men (Olympic)",Lal Chand,71394,IND,,40.0,False,,Lal,Chand
1964.0,Summer,Athletics,"Marathon, Men (Olympic)",Harbans Lal,71395,IND,,43.0,False,,Harbans,Lal
1928.0,Summer,Athletics,"800 metres, Men (Olympic)",Joseph Murphy,71396,IND,,7.0,False,,Joseph,Murphy
1928.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Joseph Murphy,71396,IND,British India,,False,,Joseph,Murphy
1964.0,Summer,Athletics,"400 metres Hurdles, Men (Olympic)",Amrit Pal,71397,IND,,7.0,False,,Amrit,Pal
1964.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Amrit Pal,71397,IND,India,4.0,False,,Amrit,Pal
1980.0,Summer,Athletics,"200 metres, Men (Olympic)",Perumal Subramanian,71398,IND,,5.0,False,,Perumal,Subramanian
1948.0,Summer,Athletics,"100 metres, Men (Olympic)",Eric Prabhakar,71399,IND,,6.0,False,,Eric,Prabhakar
1948.0,Summer,Athletics,"200 metres, Men (Olympic)",Eric Prabhakar,71399,IND,,,False,,Eric,Prabhakar
1964.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Rajasekaran Pichaya,71400,IND,India,7.0,False,,Rajasekaran,Pichaya
1952.0,Summer,Athletics,"100 metres, Men (Olympic)",Lavy Pinto,71401,IND,,4.0,False,,Lavy,Pinto
1952.0,Summer,Athletics,"200 metres, Men (Olympic)",Lavy Pinto,71401,IND,,5.0,False,,Lavy,Pinto
1924.0,Summer,Athletics,"100 metres, Men (Olympic)",Terence Pitt,71402,IND,,3.0,False,,Terence,Pitt
1924.0,Summer,Athletics,"200 metres, Men (Olympic)",Terence Pitt,71402,IND,,3.0,False,,Terence,Pitt
1924.0,Summer,Athletics,"400 metres, Men (Olympic)",Terence Pitt,71402,IND,,4.0,False,,Terence,Pitt
1924.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Terence Pitt,71402,IND,British India,,False,,Terence,Pitt
1924.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Terence Pitt,71402,IND,British India,,False,,Terence,Pitt
1964.0,Summer,Athletics,"100 metres, Men (Olympic)",Ken Powell,71403,IND,,4.0,False,,Ken,Powell
1964.0,Summer,Athletics,"200 metres, Men (Olympic)",Ken Powell,71403,IND,,7.0,False,,Ken,Powell
1964.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Ken Powell,71403,IND,India,7.0,False,,Ken,Powell
1964.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Ken Powell,71403,IND,India,,False,,Ken,Powell
1992.0,Summer,Athletics,"5,000 metres, Men (Olympic)",Bahadur Prasad,71404,IND,,8.0,False,,Bahadur,Prasad
1996.0,Summer,Athletics,"1,500 metres, Men (Olympic)",Bahadur Prasad,71404,IND,,8.0,False,,Bahadur,Prasad
1900.0,Summer,Athletics,"60 metres, Men (Olympic)",Norman Pritchard,71405,IND,,3.0,False,,Norman,Pritchard
1900.0,Summer,Athletics,"100 metres, Men (Olympic)",Norman Pritchard,71405,IND,,2.0,False,,Norman,Pritchard
1900.0,Summer,Athletics,"200 metres, Men (Olympic)",Norman Pritchard,71405,IND,,2.0,False,Silver,Norman,Pritchard
1900.0,Summer,Athletics,"400 metres, Men (Olympic)",Norman Pritchard,71405,IND,,,False,,Norman,Pritchard
1900.0,Summer,Athletics,"110 metres Hurdles, Men (Olympic)",Norman Pritchard,71405,IND,,,False,,Norman,Pritchard
1900.0,Summer,Athletics,"200 metres Hurdles, Men (Olympic)",Norman Pritchard,71405,IND,,2.0,False,Silver,Norman,Pritchard
1900.0,Summer,Athletics,"400 metres Hurdles, Men (Olympic)",Norman Pritchard,71405,IND,,,False,,Norman,Pritchard
1900.0,Summer,Athletics,"100 metres, Handicap, Men (Olympic (non-medal))",Norman Pritchard,71405,IND,,3.0,False,,Norman,Pritchard
1900.0,Summer,Athletics,"110 metres Hurdles, Handicap, Men (Olympic (non-medal))",Norman Pritchard,71405,IND,,2.0,False,,Norman,Pritchard
1900.0,Summer,Athletics,"400 metres Hurdles, Handicap, Men (Olympic (non-medal))",Norman Pritchard,71405,IND,,1.0,False,,Norman,Pritchard
1984.0,Summer,Athletics,"20 kilometres Race Walk, Men (Olympic)",Siri Chand Ram,71406,IND,,22.0,False,,Siri,Chand
1956.0,Summer,Athletics,"Long Jump, Men (Olympic)",Ram Mehar,71407,IND,,22.0,False,,Ram,Mehar
1948.0,Summer,Athletics,"Triple Jump, Men (Olympic)",Henry Rebello,71409,IND,,2.0,False,,Henry,Rebello
1960.0,Summer,Athletics,"Long Jump, Men (Olympic)",B. V. Satyanarayan,71410,IND,,30.0,False,,B.,V.
1964.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",B. V. Satyanarayan,71410,IND,India,,False,,B.,V.
1964.0,Summer,Athletics,"Long Jump, Men (Olympic)",B. V. Satyanarayan,71410,IND,,29.0,False,,B.,V.
1972.0,Summer,Athletics,"5,000 metres, Men (Olympic)",Eddie Sequeira,71411,IND,,11.0,False,,Eddie,Sequeira
1964.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Ajmer Singh,71412,IND,India,4.0,False,,Ajmer,Singh
1948.0,Summer,Athletics,"Long Jump, Men (Olympic)",Baldev Singh,71413,IND,,11.0,False,,Baldev,Singh
1948.0,Summer,Athletics,"Decathlon, Men (Olympic)",Baldev Singh,71413,IND,,,False,,Baldev,Singh
1968.0,Summer,Athletics,"High Jump, Men (Olympic)",Bhim Singh,71414,IND,,17.0,False,,Bhim,Singh
1948.0,Summer,Athletics,"Marathon, Men (Olympic)",Chhota Singh,71415,IND,,,False,,Chhota,Singh
1924.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Dalip Singh,71416,IND,British India,,False,,Dalip,Singh
1924.0,Summer,Athletics,"Long Jump, Men (Olympic)",Dalip Singh,71416,IND,,14.0,True,,Dalip,Singh
1928.0,Summer,Athletics,"Long Jump, Men (Olympic)",Dalip Singh,71416,IND,,37.0,False,,Dalip,Singh
1928.0,Summer,Athletics,"Triple Jump, Men (Olympic)",Dalip Singh,71416,IND,,,False,,Dalip,Singh
1928.0,Summer,Athletics,"1,500 metres, Men (Olympic)",Gurbachan Singh,71417,IND,,,False,,Gurbachan,Singh
1928.0,Summer,Athletics,"5,000 metres, Men (Olympic)",Gurbachan Singh,71417,IND,,3.0,False,,Gurbachan,Singh
1928.0,Summer,Athletics,"3,000 metres Steeplechase, Men (Olympic)",Gurbachan Singh,71417,IND,,,False,,Gurbachan,Singh
1984.0,Summer,Athletics,"Javelin Throw, Men (Olympic)",Gurtej Singh,71418,IND,,25.0,False,,Gurtej,Singh
1956.0,Summer,Athletics,"400 metres Hurdles, Men (Olympic)",Jagdev Singh,71419,IND,,5.0,False,,Jagdev,Singh
1948.0,Summer,Athletics,"High Jump, Men (Olympic)",Gurnam Singh,71420,IND,,18.0,False,,Gurnam,Singh
1960.0,Summer,Athletics,"110 metres Hurdles, Men (Olympic)",Jagmohan Singh,71421,IND,,5.0,False,,Jagmohan,Singh
1960.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Jagmohan Singh,71421,IND,India,,False,,Jagmohan,Singh
